ts,lat,lon,time
1772083046483,34.036453,-118.091125,2026-02-26 05:17:26.483
1772083052683,34.037008,-118.08888,2026-02-26 05:17:32.683
1772083058763,34.037553,-118.086589,2026-02-26 05:17:38.763
1772083064914,34.038146,-118.084373,2026-02-26 05:17:44.914
1772083071043,34.038811,-118.082329,2026-02-26 05:17:51.043
1772083078156,34.039661,-118.080064,2026-02-26 05:17:58.156
1772083084295,34.040375,-118.077698,2026-02-26 05:18:04.295
1772083090449,34.040701,-118.075518,2026-02-26 05:18:10.449
1772083096679,34.041025,-118.073321,2026-02-26 05:18:16.679
1772083102804,34.041245,-118.071054,2026-02-26 05:18:22.804
1772083108788,34.041258,-118.068832,2026-02-26 05:18:28.788
1772083115913,34.041262,-118.066335,2026-02-26 05:18:35.913
1772083123160,34.041267,-118.063821,2026-02-26 05:18:43.160
1772083129199,34.041237,-118.06165,2026-02-26 05:18:49.199
1772083134319,34.040992,-118.059368,2026-02-26 05:18:54.319
1772083140460,34.040594,-118.057068,2026-02-26 05:19:00.460
1772083146580,34.040258,-118.05514,2026-02-26 05:19:06.580
1772083151698,34.039846,-118.052783,2026-02-26 05:19:11.698
1772083157820,34.039446,-118.050473,2026-02-26 05:19:17.820
1772083163929,34.039056,-118.048236,2026-02-26 05:19:23.929
1772083170061,34.038658,-118.045963,2026-02-26 05:19:30.061
1772083176200,34.038242,-118.04371,2026-02-26 05:19:36.200
1772083181309,34.037864,-118.041573,2026-02-26 05:19:41.309
1772083188441,34.037456,-118.039223,2026-02-26 05:19:48.441
1772083195598,34.037069,-118.037026,2026-02-26 05:19:55.598
1772083203714,34.036606,-118.034675,2026-02-26 05:20:03.714
1772083211957,34.036016,-118.032435,2026-02-26 05:20:11.957
1772083220973,34.035189,-118.030419,2026-02-26 05:20:20.973
1772083232128,34.033623,-118.029286,2026-02-26 05:20:32.128
1772083245274,34.033509,-118.027071,2026-02-26 05:20:45.274
1772083255415,34.035061,-118.025579,2026-02-26 05:20:55.415
1772083264682,34.036325,-118.023963,2026-02-26 05:21:04.682
1772083273627,34.037707,-118.022169,2026-02-26 05:21:13.627
1772083280779,34.038731,-118.020339,2026-02-26 05:21:20.779
1772083287858,34.039552,-118.018266,2026-02-26 05:21:27.858
1772083294978,34.040377,-118.016293,2026-02-26 05:21:34.978
1772083303160,34.041264,-118.01408,2026-02-26 05:21:43.160
1772083311331,34.042329,-118.012031,2026-02-26 05:21:51.331
1772083318487,34.043748,-118.010378,2026-02-26 05:21:58.487
1772083326535,34.045242,-118.009285,2026-02-26 05:22:06.535
1772083333741,34.047082,-118.008265,2026-02-26 05:22:13.741
1772083341809,34.048944,-118.007218,2026-02-26 05:22:21.809
1772083349075,34.050606,-118.006279,2026-02-26 05:22:29.075
1772083356088,34.052259,-118.005348,2026-02-26 05:22:36.088
1772083363192,34.053894,-118.004429,2026-02-26 05:22:43.192
1772083370340,34.055708,-118.003409,2026-02-26 05:22:50.340
1772083377418,34.057395,-118.002455,2026-02-26 05:22:57.418
1772083384589,34.059223,-118.001523,2026-02-26 05:23:04.589
1772083391703,34.061146,-118.000795,2026-02-26 05:23:11.703
1772083398799,34.063037,-118.000195,2026-02-26 05:23:18.799
1772083405972,34.064877,-118.000059,2026-02-26 05:23:25.972
1772083413060,34.066671,-118.000342,2026-02-26 05:23:33.060
1772083420170,34.068515,-118.000499,2026-02-26 05:23:40.170
1772083434922,34.070364,-118.000148,2026-02-26 05:23:54.922
1772083435342,34.072186,-117.999527,2026-02-26 05:23:55.342
1772083440611,34.073957,-117.998921,2026-02-26 05:24:00.611
1772083447747,34.075702,-117.998342,2026-02-26 05:24:07.747
1772083454842,34.077485,-117.997952,2026-02-26 05:24:14.842
1772083461964,34.079411,-117.997806,2026-02-26 05:24:21.964
1772083469123,34.081328,-117.997576,2026-02-26 05:24:29.123
1772083476258,34.083176,-117.997127,2026-02-26 05:24:36.258
1772083483405,34.085026,-117.996416,2026-02-26 05:24:43.405
1772083491539,34.086707,-117.995579,2026-02-26 05:24:51.539
1772083500659,34.088346,-117.99453,2026-02-26 05:25:00.659
1772083506749,34.089145,-117.993861,2026-02-26 05:25:06.749
1772083516929,34.090637,-117.992374,2026-02-26 05:25:16.929
